Achira (Canna, Arrowroot) | Scientific Names: Canna edulis | Family: Cannaceae
Weeping Sargent Hemlock (Many varieties) | Scientific Names: Tsuga species | Family: Pinaceae
Weisdornbluten (Haws, Pirliteiro, Red Hawthorn, Washington Hawthorn) | Scientific Names: Crataegus species | Family: Rosaceae
West Indian Gherkin (Goareberry Gourd, Gooseberry Gourd, Burr Gourd) | Scientific Names: Cucumis anguria | Family: Cucurbitaceae
Western Sword (Sword Fern, Giant Holly Fern, Imbricate Sword Fern) | Scientific Names: Ploystichum munitum | Family: Polypodaceae
White Edged Swedish Ivy (Creeping Charlie, Swedish Ivy) | Scientific Names: Plectranthus australis | Family: Pilea: Uriticaeae; Plectranthus: Lamiaceae
White Ginger (Butterfly Ginger, Cinnamon Jasmine, Garland Flower, Ginger Lily) | Scientific Names: Hedychium coronarium | Family:
White Heart Hickory () | Scientific Names: Carya tomentosa | Family: Juglandaceae
Whitman Fern (Bold Sword Fern, Nephrolepis Biserrata, Verona Fern, Verona Lace Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Wild Buckwheat (Sulfur Flower, Umbrella Plant) | Scientific Names: Eriogonium umbellatum | Family: Polygonaceae
Wild Hyacinth (Blue Dicks) | Scientific Names: Dichelostemma pulchellum | Family: Amaryllidaceae
Wild Lantana (Sand Verbena, Prairie Snowball) | Scientific Names: Abronia fragrans | Family:
Wild Sasparilla (Sawbrier) | Scientific Names: Smilax glauca | Family: Liliaceae
Wild Strawberry (Strawberry) | Scientific Names: Fragaria | Family: Rosaceae
Willow Herb (Blooming Sally, Fire Weed) | Scientific Names: Epilobium angustifolium | Family: Onagraceae
Windmill Palm (Chusan Palm) | Scientific Names: Trachycarpus fortunei | Family: Arecaceae
Winter Cattleya (Christmas Orchid) | Scientific Names: Cattleya trianaei | Family: Orchidaceae
Withered Snapdragon () | Scientific Names: Anthirrhinum multiflorum | Family: Schrophulariaceae
Woolflower () | Scientific Names: Celosia cristata | Family: Amaranthaceae
Yellow Bloodleaf (Chicken Gizzard, Bloodleaf, Joseph's Coat) | Scientific Names: Iresine herbstii | Family: Amaranthaceae
Yellow Palm (Golden Butterfly Palm, Cane Palm, Golden Feather Palm, Yellow Palm) | Scientific Names: Dypsis lutescens | Family: Palmae
Yellow-Flowered Gourd () | Scientific Names: Cucurbita species | Family: Cucurbitaceae
Yerba Linda () | Scientific Names: Peperomia rotundifolia | Family: Piperaceae
Zebra Haworthia () | Scientific Names: Haworthia fasciata | Family: Liliaceae
Zinnia () | Scientific Names: Zinnia species | Family: Asteraceae
Zucchini Squash () | Scientific Names: Cucurbia pepo cv zucchini | Family: Cucurbitaceae
